iter	MultiClass
182	0.5597870999
183	0.5584877507
184	0.556580292
185	0.554168267
186	0.5526281298
187	0.5506931575
188	0.5489796396
189	0.5473091558
190	0.5456647662
191	0.5441096716
192	0.5424179814
193	0.5402225973
194	0.5383190042
195	0.5371902256
196	0.5358838126
197	0.5340291468
198	0.5321687822
199	0.5302899477
200	0.5284458499
201	0.5268501783
202	0.5254144065
203	0.5240521743
204	0.5220205135
205	0.5206600752
206	0.5194888124
207	0.5181581884
208	0.5171255191
209	0.5158037021
210	0.5136107386
211	0.5120766781
212	0.5101941069
213	0.5086982743
214	0.5071138261
215	0.5055378921
216	0.5038250722
217	0.5023051931
218	0.5006838584
219	0.4988700219
220	0.4969492213
221	0.4950355375
222	0.4939051252
223	0.4925048625
224	0.4913504127
225	0.4902636083
226	0.4892664609
227	0.4881727528
228	0.4872065591
229	0.4862591679
230	0.484846422
231	0.4836805586
232	0.4818572546
233	0.4803082033
234	0.4789589035
235	0.4779021897
236	0.4767001213
237	0.4751423024
238	0.4739760114
239	0.4726273335
240	0.4712870927
241	0.4698455027
242	0.4682524367
243	0.4672766049
244	0.4660626273
245	0.4648550159
246	0.4636079795
247	0.462426007
248	0.4611084102
249	0.4597622445
250	0.4585441572
251	0.4576901845
252	0.4562229994
253	0.4548490398
254	0.453681097
255	0.452385077
256	0.4514509808
257	0.4504160712
258	0.4492044568
259	0.4476751483
260	0.4462375579
261	0.4455257561
262	0.4443838238
263	0.4435536909
264	0.4427678366
265	0.4416097048
266	0.4402911055
267	0.4389059604
268	0.4376346075
269	0.4366927076
270	0.4359385766
271	0.4349106575
272	0.4341306476
273	0.4330967295
274	0.4320112351
275	0.4310665455
276	0.430449097
277	0.4290541144
278	0.4281384135
279	0.4271310701
280	0.4262525689
281	0.4248890895
282	0.4241063809
283	0.4231748989
284	0.422604235
285	0.4217351391
286	0.421020739
287	0.420262212
288	0.4194030343
289	0.4186315407
290	0.4177794095
291	0.4166911449
292	0.4159706263
293	0.415028928
294	0.4141483008
295	0.4132451627
296	0.4119936008
297	0.4111937524
298	0.4103836981
299	0.4092524102
300	0.4085133722
301	0.4076607921
302	0.4065404621
303	0.4055631501
304	0.4049466656
305	0.4035503695
306	0.4027717566
307	0.4020322521
308	0.4013326784
309	0.4007246205
310	0.40015246
311	0.3992932509
312	0.3982691778
313	0.3971503658
314	0.3963361494
315	0.3954952342
316	0.3946428835
317	0.3938705731
318	0.3928275889
319	0.3919414551
320	0.3912006452
321	0.3905050535
322	0.3897880633
323	0.3887454808
324	0.3882731514
325	0.3875281924
326	0.3867813016
327	0.3858955626
328	0.3851687489
329	0.3844998483
330	0.3839353231
331	0.3834061874
332	0.3826340999
333	0.381766192
334	0.3809412959
335	0.3801237126
336	0.3793915889
337	0.3786701036
338	0.3779673448
339	0.3773273456
340	0.3768560004
341	0.3763404409
342	0.3756820914
343	0.3744818059
344	0.3736786203
345	0.3731085067
346	0.3723108136
347	0.3716996933
348	0.3709332347
349	0.3701852777
350	0.3694314617
351	0.3688424808
352	0.3684234336
353	0.3675912267
354	0.3668339609
355	0.3658598026
356	0.3650722256
357	0.3642678344
358	0.3635844896
359	0.3627430873
360	0.3615944427
361	0.3611365862
362	0.3605083701
363	0.3598010823
364	0.3592478385
365	0.3586703879
366	0.358052611
367	0.3574976034
368	0.3567751503
369	0.356140079
370	0.3553165296
371	0.3548085062
372	0.3543026645
373	0.3535945153
374	0.3528509128
375	0.3520970252
376	0.3516682742
377	0.3507932219
378	0.3501551457
379	0.3498039363
380	0.3493148002
381	0.3485868399
382	0.3478936823
383	0.3473377882
384	0.3465214701
385	0.3459252244
386	0.3452086279
387	0.3446269176
388	0.3440552225
389	0.3432972088
390	0.342709851
391	0.3422696259
392	0.3419024977
393	0.3413603475
394	0.340994294
395	0.3406635894
396	0.3401572073
397	0.3394271086
398	0.3390899405
399	0.3382967973
400	0.3375959984
401	0.3368232708
402	0.3362223681
403	0.3355738779
404	0.3351930555
405	0.3346800816
406	0.3342054217
407	0.3334788086
408	0.3327849888
409	0.3323304738
410	0.3317790179
411	0.3312884086
412	0.3308136927
413	0.3301179222
414	0.3296589535
415	0.3291692267
416	0.3288353537
417	0.3284715657
418	0.3280282897
419	0.3274593554
420	0.3270737047
421	0.3263662816
422	0.3259525531
423	0.32535915
424	0.3248941758
425	0.3240821812
426	0.3237086813
427	0.3231759292
428	0.3227643486
429	0.3222881354
430	0.321769025
431	0.3212270269
432	0.320669227
433	0.3200941093
434	0.3195570107
435	0.3189619944
436	0.3184411711
437	0.3179396959
438	0.3174656384
439	0.3171890844
440	0.3166799284
441	0.316280931
442	0.315864126
443	0.3153939435
444	0.3149988112
445	0.3145606164
446	0.3138966977
447	0.3135073408
448	0.3131651465
449	0.3128591281
450	0.3124846191
451	0.311876988
452	0.3114367463
453	0.3109408579
454	0.3104118391
455	0.310059107
456	0.3096411645
457	0.3089009055
458	0.3081005116
459	0.3075212205
460	0.3071268958
461	0.3068910929
462	0.3065761422
463	0.3061247105
464	0.3057861077
465	0.3053382821
466	0.3048556713
467	0.3042001337
468	0.3036180816
469	0.3030881476
470	0.3028601719
471	0.3023650507
472	0.3018312648
473	0.3013314913
474	0.3009322505
475	0.3003707024
476	0.2997128678
477	0.2993710709
478	0.2990275312
479	0.2985444825
480	0.2980998655
481	0.2975821071
482	0.2971468572
483	0.2966985148
484	0.296360329
485	0.2958915314
486	0.2954049631
487	0.2949307565
488	0.2946249776
489	0.2941465956
490	0.2935985114
491	0.2931836528
492	0.2928687474
493	0.292523479
494	0.2920055015
495	0.2916149498
496	0.2913531951
497	0.2908248883
498	0.2904808206
499	0.2898526548
500	0.2896068169
501	0.2892898538
502	0.2889043946
503	0.2884500102
504	0.2881045454
505	0.2877114762
506	0.2871837107
507	0.2868370799
508	0.2864124664
509	0.2858839361
510	0.2853566978
511	0.2848791292
512	0.2843639203
513	0.2838412821
514	0.283543675
515	0.2831978405
516	0.2828337919
517	0.2824551103
518	0.2821837503
519	0.2818322026
520	0.2814737535
521	0.2811063562
522	0.2807884481
523	0.2804759771
524	0.2801548361
525	0.2799402811
526	0.2794913039
527	0.2792389483
528	0.2789236942
529	0.2784910183
530	0.2782302829
531	0.277677718
532	0.2771235694
533	0.2767675741
534	0.2764489496
535	0.2760858554
536	0.2756858825
537	0.2754283342
538	0.275021435
539	0.2746650637
540	0.2742861079
541	0.2739055076
542	0.2735770544
543	0.2733397257
544	0.2730868292
545	0.2727934182
546	0.2723991795
547	0.2721362338
548	0.2718858558
549	0.2716001915
550	0.2711913328
551	0.2708517433
552	0.2705636628
553	0.2701847904
554	0.2697101322
555	0.269434293
556	0.2689579818
557	0.2686871685
558	0.2682129274
559	0.2678157311
560	0.2674880763
561	0.2672436292
562	0.2669526758
563	0.2666787215
564	0.2662676707
565	0.2657728052
566	0.265352052
567	0.2649619842
568	0.2645472216
569	0.2642502487
570	0.2640344049
571	0.2638006271
572	0.2635406291
573	0.263325942
574	0.2629680472
575	0.2624986717
576	0.262148363
577	0.2618016265
578	0.2613758005
579	0.2610382123
580	0.2606285697
581	0.2604428673
582	0.2601558631
583	0.2598453661
584	0.259438487
585	0.2590128198
586	0.2585861011
587	0.2582784001
588	0.2579927929
589	0.2574691912
590	0.2570834398
591	0.2566703559
592	0.2562995763
593	0.2561414893
594	0.2558410367
595	0.2555438183
596	0.2551577163
597	0.2548565557
598	0.2546094894
599	0.2541050156
